review_text,label,category
"anting ini diskon gila, garansi puas, pengiriman cepat, harga miring!",0,Aksesoris
"barbel warnanya beda dari foto, bau menyengat; packing kurang rapi, komplain diabaikan, tidak sesuai harga.",0,Alat Olahraga
"blouse merah tidak menerawang, warna sesuai foto; kurir sopan, balas chat cepat, sesuai harga, ukuran XXL pas.",1,Baju
"kaos abu tidak menerawang, warna sesuai foto; pengiriman cepat, cs membantu banget, sesuai budget, ukuran M pas, mantap ji.",1,Baju
"handbag hijau resleting halus, lapisannya tebal; barang sampai aman, admin ramah, sesuai harga.",1,Tas
"ransel biru tali kokoh, bahannya kuat; admin ramah, pengiriman cepat, worth it.",1,Tas
"skipping merah ringan, lentur; cs membantu banget, packing rapi, worth it.",1,Alat Olahraga
"wallet cokelat tidak mudah terkelupas, banyak slot kartu; kurir sopan, garansi dijelaskan jelas, sesuai harga.",1,Dompet
"jeans abu tidak luntur, potongan rapi; garansi dijelaskan jelas, datang lebih cepat dari estimasi, harga masuk akal.",1,Celana
"dompet cokelat tidak mudah terkelupas, kulitnya halus; garansi dijelaskan jelas, datang lebih cepat dari estimasi, sesuai budget.",1,Dompet
"card holder hitam kulitnya halus, tidak mudah terkelupas; garansi dijelaskan jelas, datang lebih cepat dari estimasi, sesuai budget, mantap ji.",1,Dompet
"ponsel biru layarnya terang, speaker oke; packing rapi, penjual responsif, value for money.",1,HP
"celana ini diskon gila, garansi puas, kurir sopan, harga miring, boleh lah!",0,Celana
"makanan kucing biru tidak menimbulkan alergi, ukuran kibble pas; barang sampai aman, admin ramah, value for money.",1,Hewan
"wallet putih kulitnya halus, jahitan rapi; balas chat cepat, datang lebih cepat dari estimasi, sesuai budget.",1,Dompet
"training biru jahitan kuat, potongan rapi; kurir sopan, admin ramah, value for money, ukuran M pas.",1,Celana
"HP putih layarnya terang, speaker oke; admin ramah, kurir sopan, harga masuk akal.",1,HP
"smartphone merah kameranya jernih, speaker oke; penjual responsif, pengiriman cepat, worth it.",1,HP
"cincin cokelat finishing rapi, tidak gatal di kulit; penjual responsif, kurir sopan, value for money.",1,Aksesoris
"chino fungsi tidak berjalan, jahitan lepas; dus penyok, respon lambat, mahal untuk kualitas begini.",0,Celana
"sling bag biru muat banyak, resleting halus; admin ramah, pengiriman cepat, sesuai budget.",1,Tas
"oli navy awet dipakai, tidak berisik; cs membantu banget, barang sampai aman, harga masuk akal.",1,Kendaraan
"wajan ini TERBAIK di pasaran, garansi puas, gratis ongkir, harga miring!",0,Alat Masak
"wajan biru panas merata, bahan tebal; pengiriman cepat, penjual responsif, worth it.",1,Alat Masak
"panci cokelat mudah dibersihkan, panas merata; kurir sopan, balas chat cepat, sesuai harga.",1,Alat Masak
"tas fit tidak nyaman, jahitan lepas; kurirnya kurang ramah, penjual susah dihubungi, kemahalan.",0,Tas
"sling bag cokelat resleting halus, bahannya kuat; kurir sopan, admin ramah, sesuai budget.",1,Tas
"skipping ukuran meleset, bahan terasa murahan; garansi tidak jelas, packing kurang rapi, overprice.",0,Alat Olahraga
"handbag hijau jahitannya rapi, lapisannya tebal; datang lebih cepat dari estimasi, cs membantu banget, sesuai budget.",1,Tas
"celana merah potongan rapi, bahannya tebal; garansi dijelaskan jelas, pengiriman cepat, worth it, ukuran S pas.",1,Celana
"dompet mudah rusak, fungsi tidak berjalan; garansi tidak jelas, dus penyok, mahal untuk kualitas begini.",0,Dompet
"card holder hitam resleting mulus, banyak slot kartu; penjual responsif, kurir sopan, sesuai budget.",1,Dompet
"card holder putih jahitan rapi, tidak mudah terkelupas; penjual responsif, pengiriman cepat, sesuai budget, sip.",1,Dompet
"jeans ini kualitas premium harga merakyat, best seller, kurir sopan, harga miring!",0,Celana
"chino bau menyengat, fungsi tidak berjalan; packing kurang rapi, penjual susah dihubungi, mahal untuk kualitas begini.",0,Celana
"kemeja abu potongannya pas, bahannya adem; cs membantu banget, pengiriman cepat, worth it.",1,Baju
"wallet abu jahitan rapi, resleting mulus; packing rapi, balas chat cepat, sesuai harga.",1,Dompet
"wajan biru gagangnya kokoh, anti lengket; packing rapi, garansi dijelaskan jelas, worth it.",1,Alat Masak
"celana hitam tidak luntur, bahannya tebal; garansi dijelaskan jelas, packing rapi, sesuai budget, ukuran S pas.",1,Celana
"skipping biru empuk dipakai, pegangan nyaman; barang sampai aman, balas chat cepat, harga masuk akal.",1,Alat Olahraga
"kalung hewan navy ukuran kibble pas, disukai hewan; garansi dijelaskan jelas, packing rapi, sesuai harga.",1,Hewan
"celana fit tidak nyaman, kemasan penyok; komplain diabaikan, packing kurang rapi, kemahalan.",0,Celana
"wajan ini stok terbatas buruan, ori 100%, gratis ongkir, harga miring!",0,Alat Masak
"tas fit tidak nyaman, fungsi tidak berjalan; pengiriman lama, balasan chat lama, mahal untuk kualitas begini, rek.",0,Tas
"sepatu lari merah kokoh, anti selip; pengiriman cepat, admin ramah, sesuai harga, hatur nuhun.",1,Alat Olahraga
"card holder ini WAJIB beli sekarang, paling laris, kurir sopan, harga miring!",0,Dompet
"chino warnanya beda dari foto, fungsi tidak berjalan; balasan chat lama, datang terlambat, overprice.",0,Celana
"smartphone hitam speaker oke, layarnya terang; packing rapi, cs membantu banget, sesuai budget.",1,HP
"handphone putih baterainya awet, charger cepat; penjual responsif, pengiriman cepat, sesuai budget, bagus pisan.",1,HP
"kalung hewan cokelat aromanya tidak menyengat, disukai hewan; datang lebih cepat dari estimasi, garansi dijelaskan jelas, sesuai budget.",1,Hewan
"oli kemasan penyok, bau menyengat; kurirnya kurang ramah, balasan chat lama, kemahalan.",0,Kendaraan
"wajan navy gagangnya kokoh, anti lengket; pengiriman cepat, admin ramah, value for money, makasih banyak.",1,Alat Masak
"wallet merah kulitnya halus, resleting mulus; balas chat cepat, datang lebih cepat dari estimasi, value for money.",1,Dompet
"wallet putih jahitan rapi, resleting mulus; barang sampai aman, penjual responsif, sesuai budget, boleh lah.",1,Dompet
"panci navy mudah dibersihkan, gagangnya kokoh; barang sampai aman, cs membantu banget, value for money.",1,Alat Masak
"ransel biru bahannya kuat, jahitannya rapi; pengiriman cepat, garansi dijelaskan jelas, sesuai harga, sip.",1,Tas
"teflon merah panas merata, gagangnya kokoh; cs membantu banget, barang sampai aman, sesuai harga.",1,Alat Masak
"sparepart navy pas di tempatnya, awet dipakai; packing rapi, balas chat cepat, value for money, makasih banyak.",1,Kendaraan
"handbag ukuran meleset, warnanya beda dari foto; datang terlambat, balasan chat lama, kurang sepadan, mantap ji.",0,Tas
"barbel ini kualitas premium harga merakyat, garansi puas, same day, harga miring, hatur nuhun!",0,Alat Olahraga
"makanan kucing navy ukuran kibble pas, aromanya tidak menyengat; pengiriman cepat, penjual responsif, value for money.",1,Hewan
"sepatu lari hitam pegangan nyaman, lentur; datang lebih cepat dari estimasi, admin ramah, sesuai budget.",1,Alat Olahraga
"barbel putih anti selip, kokoh; kurir sopan, penjual responsif, sesuai harga, mantap ji.",1,Alat Olahraga
"helm merah pas di tempatnya, tidak berisik; kurir sopan, penjual responsif, sesuai harga.",1,Kendaraan
"sling bag cokelat tali kokoh, muat banyak; datang lebih cepat dari estimasi, cs membantu banget, value for money.",1,Tas
"baju biru warna sesuai foto, tidak menerawang; garansi dijelaskan jelas, packing rapi, value for money, ukuran XXL pas.",1,Baju
"celana ini TERBAIK di pasaran, best seller, barang sampai aman, harga miring!",0,Celana
"kaos biru potongannya pas, warna sesuai foto; cs membantu banget, datang lebih cepat dari estimasi, sesuai harga, ukuran XXL pas.",1,Baju
"dompet putih kulitnya halus, jahitan rapi; admin ramah, barang sampai aman, value for money.",1,Dompet
"card holder ini WAJIB beli sekarang, garansi puas, barang sampai aman, harga miring!",0,Dompet
"celana merah bahannya tebal, tidak luntur; balas chat cepat, packing rapi, value for money, ukuran L pas, mantap ji.",1,Celana
"makanan kucing ini diskon gila, garansi puas, kurir sopan, harga miring!",0,Hewan
"cincin navy kilapnya bagus, warnanya elegan; packing rapi, admin ramah, sesuai budget, boleh lah.",1,Aksesoris
"bros biru kaitannya kuat, kilapnya bagus; admin ramah, barang sampai aman, harga masuk akal.",1,Aksesoris
"baju hitam tidak menerawang, bahannya adem; cs membantu banget, packing rapi, value for money, ukuran XXL pas.",1,Baju
"panci biru mudah dibersihkan, gagangnya kokoh; penjual responsif, packing rapi, worth it.",1,Alat Masak
"dompet ini paling recomended se-Indonesia, garansi puas, barang sampai aman, harga miring!",0,Dompet
"dompet warnanya beda dari foto, fit tidak nyaman; balasan chat lama, datang terlambat, mahal untuk kualitas begini.",0,Dompet
"oli ini TERBAIK di pasaran, paling laris, barang sampai aman, harga miring!",0,Kendaraan
"skipping fit tidak nyaman, bahan terasa murahan; packing kurang rapi, balasan chat lama, mahal untuk kualitas begini.",0,Alat Olahraga
"sling bag ini TERBAIK di pasaran, best seller, packing rapi, harga miring, makasih banyak!",0,Tas
